,Name,Institution(s),Country/Territory,Researcher ID,Keywords,Other Names
"Suez Canal University ; King Abdulaziz University, Faculty of Science (North Jeddah)  ",Egypt ,H-9633-2012,"biological control, plant parasitic nematode, biofertilizers, mycorrhizal fungi, plant growth promoting rhizobacteria  ","Abdelmoneim T.S., Tamer S. Abdel-Moneim  "
873,Bimberg Dieter    Highly Cited Researcher Icon ,,,
"Technische Universitaet Berlin, TU B ; King Abdulaziz University, KAU  ",Germany ,A-5629-2012,,"Bimberg, D.  "
874,Schulte Karl  ,,,
"Technische Universität Hamburg-Harburg (TUHH) ; King Abdulaziz University (KAU), Jeddah, Saudi Arabia  ",Germany ,C-9550-2013,"composites, nanotechnilogy,  ",
875,Schmidbaur Hubert   ,,,
Technische Universität München (TUM) ; King Abdulaziz University (KAU)  ,Germany ,F-7365-2011,"gold chemistry, silicon chemistry, beryllium chemistry  ",
876,Sole Patrick  ,,,
TELECOM ParisTech ; King Abdulaziz University (KAU)  ,France ,G-1412-2011,,"Sole, P.  "
877,Kumar Sudhir   ,,,
"Temple University ; King Abdulaziz University, KAU  ",United States ,F-1411-2011,"molecular evolution, phylomedicine, phylogenetics, bioinformatics, functional genomics  ",
878,Guo Bao-Zhu    ,,,
The Chinese Academy of Sciences ; King Abdulaziz University KAU  ,China ,B-5261-2013,"control theory, systems science.  ",
879,Mak Thomas   ,,,
"The Chinese University of Hong Kong, CUHK ; King Abdulaziz University  ",China ,F-6606-2011,"hydrogen bonded complexes, crystal engineering, silver(i) complexes, argentophilicity, supramolecular assembly, structural inorganic chemistry  ",Thomas Chung Wai Mak  
880,Hall Neil   ,,,
The University of Liverpool ; King Abdulaziz University  ,United Kingdom ,A-8717-2013,,
881,Azzouz Mimoun   ,,,
The University of Sheffield / Sheffield Institute for Translational Neuroscience ; King Abdulaziz University (Adjunct)  ,United Kingdom ,B-3979-2009,,
882,Inoue Akihisa   ,,,
"Tohoku University ; King Abdulaziz University (KAU), Jeddah, Saudi Arabia  ",Japan ,A-3626-2010,"metallic glasses, amorphous alloys, nonequilibrium materials, mechanical properties, quasicrystals, structure  ",
883,Koyama Fumio   ,,,
Tokyo Institute of Technology ; King Abdulaziz University  ,Japan ,K-8039-2012,,
884,Nieto Juan   ,,,
"Universidad de Santiago de Compostela, USC ; King Abdulaziz University  ",Spain ,B-1729-2010,"differential equations, nonlinear analysis, biomedical applications  ",
885,Carracedo Angel   ,,,
"Universidade de Santiago de Compostela, USC ; King Abdulaziz University KAU  ",Spain ,D-4257-2012,"rare diseases, genetics and genomic medicine, genetics and genomics, oncogenetics, pharmacogenetics, pharmacogenomics, forensic genetics  ","Carracedo, A, Carracedo Álvarez, A, Carracedo Alvarez, A, Carracedo Álvarez, Ángel María, Carracedo, Á  "
886,Bisquert Juan   ,,,
Universitat Jaume I ; King Abdulaziz University  ,Spain ,O-2543-2013,"physical chemistry, solar energy, nanomaterial  ",
887,PETRIER Christian   ,,,
"Université de Savoie ; King Abdulaziz University, KAU-Jeddah  ",France ,C-6099-2013,,
888,Vaca-Garcia Carlos   ,,,
"Université de Toulouse - INPT ; King Abdulaziz University, Jeddah, Saudi Arabia  ",France ,G-1453-2012,"biorefineries, microalgae, cellulose derivatives, bioproducts engineering, biobased materials, wood protection  ",
889,Emmelkamp Paul   ,,,
"University of Amsterdam (UvA) ; King Abdulaziz University, KAU  ",Netherlands ,G-3274-2011,"anxiety disorder, obsessive-compulsive disorder, ptsd, personality disorder, substance use disorder, cognitive behavior therapy, intimate partner violence, depression, adhd, virtual reality, forensic psychiatry, online psychological treatment  ","Emmelkamp, Paul M., Emmelkamp, P.M.G., Emmelkamp, P., Emmelkamp, P.M., Emmelkamp, Paul M.G.  "
890,Snyder Shane   ,,,
University of Arizona ; King Abdulaziz University  ,United States ,A-3302-2011,"environmental, bioassay, mass spectroscopy, metabolomics, water, treatment, ozone  ",Shane Snyder  
891,marino giuseppe   ,,,
"University of Calabria, ITALY ; King Abdulaziz University, Jeddah, Saudi Arabia  ",Italy ,A-1841-2014,,
892,Zhang Xiang   ,,,
"University of California - Berkeley ; King Abdulaziz University, Jeddah, Saudi Arabia  ",United States ,F-6905-2011,,X. Zhang  
893,Yang Peidong   ,,,
"University of California, Berkeley ; King Abdulaziz University, Saudi Arabia  ",United States ,E-4431-2011,,
894,Huelsenbeck John   ,,,
"University of California, Berkeley ; King Abdulaziz University  ",United States ,C-6398-2013,,
895,Mukherjee Biswanath   ,,,
"University of California, Davis ; King Abdulaziz University, Jeddah, Saudi Arabia  ",United States ,C-9299-2013,,
896,Ren Wei   ,,,
"University of California, Riverside ; King Abdulaziz University  ",United States ,G-7369-2011,"multi-agent systems, cooperative control, distributed control, networked control systems, autonomous vehicles, control theory, robotics  ",
897,Bojinov Vladimir   ,,,
"University of chemical technology and metallurgy ; King Abdulaziz University, KAU  ",Bulgaria ,A-8810-2013,"synthesis, fluorescence sensors and logic gates, light-harvesting, energy transfer  ","Bojinov, Vladimir B., Bojinov, Vladimir, Bojinov, V. B., Bojinov, Vl.  "
898,Ventura Sebastian   ,,,
University of Cordoba ; King Abdulaziz University  ,Spain ,A-7753-2008,"machine learning, data mining, soft computing, evolutionary computation, genetic programming  ",Sebastian Ventura-Soto  
899,Jones Philip  ,,,
University of East Anglia ; King Abdulaziz University  ,United Kingdom ,C-8718-2009,"climate, climate analysis, climate change, climate change impacts  ","Phil Jones, P D Jones  "
900,Schmuki Patrik   ,,,
"University of Erlangen, FAU ; King Abdulaziz University, KAU  ",Germany ,B-9720-2008,,
901,Baker Neil   ,,,
University of Essex ; King Abdulaziz University  ,United Kingdom ,F-6486-2011,"environmental stress physiology, photosynthesis, isi highly cited  ","Baker Neil, Baker N  "
902,Katritzky Alan   ,,,
"University of Florida (UF), Gainesville ; King Abdulaziz University (KAU)  ",United States ,A-5863-2012,,"Katritzky, AR, Katritzky, Alan Roy  "
903,Christou George    ,,,
"University of Florida (UF), Gainesville ; King Abdulaziz University, Jeddah, Saudi Arabia  ",United States ,A-3072-2014,"synthetic inorganic chemistry, transition metals, clusters, magnetic properties, bioinorganic chemistry, supramolecular chemistry, single-molecule magnets, manganese  ",
904,Akoh Casimir   ,,,
"University of Georgia, UGA ; King Abdulaziz University, KAU, Jeddah, Saudi Arabia  ",United States ,F-6460-2011,"food chemistry, lipids, antioxidants, functional foods, starch, isi highly cited researcher, food chemistry, biochemistry, lipid chemistry, food sciences, antioxidants, functional foods  ","Akoh, C. C.  "
905,Liew Foo Yew   ,,,
"University of Glasgow, United Kingdom ; King Abdulaziz University (KAU)  ",United Kingdom ,D-8918-2012,,
906,Herrera Francisco   ,,,
"University of Granada ; King Abdulaziz University, Jeddah, Saudi Arabia  ",Spain ,C-6856-2008,"soft computing, computational intelligence, fuzzy rule based systems, genetic fuzzy systems, genetic algorithms, data mining, computing with words and decision making  ","F. Herrera, Herrera, Francisco  "
907,Niemi Mikko   ,,,
"University of Helsinki ; King Abdulaziz University, Jeddah, Saudi Arabia  ",Finland ,A-1088-2008,"pharmacogenetics, clinical pharmacology  ",
908,Yu Philip   ,,,
University of Illinois at Chicago ; King Abdulaziz University - KAU (Adjunct Professor)  ,United States ,A-2815-2012,,
909,García Salvador   ,,,
"University of Jaen ; King Abdulaziz University, Jeddah, Saudi Arabia KAU  ",Spain ,N-3624-2013,,
910,zaworotko michael   ,,,
University of Limerick ; King Abdulaziz University KAU  ,Ireland ,A-7448-2009,"crystal engineering, porous materials, pharmaceutical materials  ",
911,Perc Matjaž   ,,,
University of Maribor ; King Abdulaziz University  ,Slovenia ,A-5148-2009,,Matjaz Perc  
912,Decker Eric    ,,,
